,tweets_VBZ
114,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/t4E4Oml1pY https://t.co/qgy5D2q0rb"
198,"Com a atual epidemia causada pelo mosquito Aedes aegypti, transmissor da dengue, zika e febre chicungunya,... https://t.co/dtZRWUzzeQ"
28,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC https://t.co/AOoJb5M5tl"
132,"Conheça a MOSQUITOEIRA   Nessa época de DENGUE, ZIKA essa 'engenhoca' pode ajudar a combater o mosquito  e SALVAR... https://t.co/MdH7CdLFXC"
180,"Legal a iniciativa da unirio de conscientização sobre dengue/zika, mas não aguento mais os mosquitos voando toda vez que entro no site."
67,"E a Fund. Osvaldo Cruz de PE achou o vírus zika dentro do mosquito comum. Lá vem o apocalipse zumbi. Brasil, um país de microcéfalos."
219,-coloco a proteçao de mosquito- cuidado que é zika
58,"Sobre a Saúde Vamos pôr o mosquito da Dengue, Zika e Chikungunya na Cadeia - Mj. Olímpio. #DebateDaBand"
86,@kharalhow e depois que saiu que o mosquito normal tbm passa zica eu fiquei foi doida
24,Vivendo a época dos Mosquitos: chikungunya e dengue e zica. E do PT :Governo Câmara e Senado. Ver sintomas.
76,"Esperando a Ariel e aproveitando pra pegar uma Zika, ta cheio de mosquito aqui na calçada kkkkkkkkkkkk"
176,Como a gestante deve se proteger do Zika Vírus? - https://t.co/J4qSHvVS5F Via @_hypenews #Saúde
140,"do jeito que esse mosquito ta me atacando, vo pegar aql zika virus"
107,*tava a tirar uma foto* *aparecem mosquitos* 'Ai o zika' *ele começa a correr*  AHAHAHAHAHAHA FODA-SE
60,fazendo a cruz com a unha nesta picada de mosquito para repreender a zika em nome de jesus
110,"pq a doença do mosquito chama zika cara, acho tao ble"
116,deus me libre num posso ve um mosquito ja penso q eh o zika
158,Então a Dilma criou o mosquito Zika? Pqp em...
175,Como a gestante deve se proteger do Zika Vírus? https://t.co/whMZPlcB1U
174,"Com a proliferação dos mosquitos, depois da dengue, da chikungunya e da zika, só falta agora um surto de febre amarela. Já há caso suspeito."
122,"Cabo a Zika aeeeeeee (não, não To falando do mosquito, e sim do dia do #bra de hoje hahahahha)"
186,"Devido a esse virus do mosquito, essa zika😂"
15,Velho a porra de um mosquito me picou Sera o zika
125,"Estou a louca do mosquito,tudo acho que é Zika."
146,do jeito q esses gringos agem parece que qnd eles pisarem no brasil vao ser atacado por 500 mosquitos vao pegar zika dengue e chikungunya
79,"fiz a prova de biologia hj, so tinha zika, serio pensei q a prova ia virar mosquito e voar"
34,claramente a mina ta espantando o mosquito do zika virus da fuça da outra https://t.co/ryf5fqZpCa
245,Pq a Dilma chamou líderes cristãos p discutir estratégias d combate ao aedes aegypti? Eles vão exorcizar o espírito Zika Virus nos mosquito?
148,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/HMuY3vstVe via @UOLNoticias @UOL
59,"Começa a aplicação de um novo inseticida para combater o mosquito que transmite a dengue, a febre chikungunya e o zika vírus. Veja no #MGTV!"
49,Revogaram a autorização do mosquito. Agora ele está proibido de transmitir Zika e Dengue. @ThaisaRadin @SirMuenster https://t.co/ux1bE9MvgA
147,Vaiar a Hope Solo por se proteger do zika vírus é similar a vaiar alguém que passa protetor solar.
64,mosquito me pica já fico DENGUE ZIKA VO MORRE
105,"Tirei a conclusão de que Deus me protege muito, pq todo dia é uma picada nova de mosquito e não peguei zika 🙏"
161,"'Só a Jessyka não pegou zika. A bicha é tão ruim que eu acho que foi ela que passou zika pra o primeiro mosquito.' VÓ, Minha."
25,Aceite a dengue eo mosquito mais foda e é o mais zika tbm 🙇 - Ashuashuaa   https://t.co/Y1qWUlMLB4
157,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgA3u1 https://t.co/LkFllgccte
205,"Explicado a preocupação da Hope Solo com a zika no Brasil. Com aquela mata Atlântica no 'suvaco das coxas',os mosquitos vão procurar a selva"
45,"Se a Dilma for pica pelo mosquito da dengue, zica virus, e chiconguinia acaba os mosquito, porque ele tem sangue ruim e veneno no corpo"
239,Quando a presidenta dá uma de bióloga e fala sobre o mosquito transmissor da zica a coisa está feia o.0
44,agora  a Zika virus pega belo beijo mais em que pessoa em si consiencia vai beija um mosquito?
226,"Vi a pesquisa que passou na tv falando que roupa preta atrai o mosquito da dengue e do zika, menino vai ser o fim dos góticos"
8,começo a pensar seriamente que o bruno foi picado pelo mosquito zica
190,graças a deus a dilma aprendeu q zika é o vírus e não o mosquito
127,Passei a tarde numa rede no meio do mato cheio de mosquito querendo me passar zika dengue chico cunha mas não conseguiram pois sou vencedor
160,ql a lógica do nme ser zika vírus dve q foi tipo o bb saiu bugado aí os cara foi e falo nossa esse mosquito é zika msm vai chama zika vírus
162,"Se a solução para a Zika é vacinar,também é bom começar a estudar a colocação de redomas futuristas sobre as cidades para evitar o mosquito."
185,"Tive a sequencia dengue, zica e depois chicungunha, um tiro nesses mosquitos do capeta"
137,@carlosaaferreir és lindo ferreira Pareces o mosquito do zika num dia bom
74,"sobre a casinha de boneca da minha sobrinha: 'Tia, aqui vou colocar uma placa escrito proibido entrada de mosquitos, e uma foto do zika''"
5,Com a Convivência tão próxima com o ebola estou reparando que o Zika e e o tal são muito parecidos em forma de transmissão fora do mosquito
69,"Convidamos a comunidade para participar do 'Arrastão de Combate ao mosquito da Dengue, Chikungunya e Zika Vírus,... https://t.co/45XjP9KwH7"
234,"ZIKA  A situação cada vez fica mais preocupante!  Além da transmissão do vírus da Zika pelo mosquito,... https://t.co/LX9OXRCn9h"
227,"É a imprensa q faz torcer a favor do zika vírus! Último dia q vi o JN estavam procurando mosquito da dengue,zika,no palácio do planalto?"
215,"Vamos a faxina das nossas casas e brasileiros, e como evitar a proliferação do mosquito da dengue e zika  #CuidarNossaCasa #ZikaZero"
48,"Qnd a Anitta mandou fazer o vestido dela de ontem, ela estava pensando em se proteger do Zica"
167,"Graças a Deus melhorei dessa dengue, agr é só ficar atividade nesses mosquitos zika du krl kk"
210,"Cabe a toda a comunidade se mobilizar para impedir o avanço do mosquito transmissor de dengue, zika e... https://t.co/tsTuMlKRyL"
196,E a louca falando q zica ? enviado por satan?s kkkkkkkkk vira mosquito e possui seu corpo ???
92,Dudes a Madeira e a Geórgia são os únicos lugares na Europa que tem aquele mosquito do Zica e do Dengue
109,@douglasjferreir @tweettorcidas esse bicho zica mais do q o mosquito zica
232,"Antes a zika só pegava pelo mosquito, agr é saliva, sexo, e urina 😒"
88,"Do tanto de mosquito q me picou hj vai ser um milagre nos dias de hj se eu n tiver pego uma zika, dengue ou algo do tipo"
123,Hope a Zika Mosquito pays him a visit! https://t.co/5v7EYpowKb
187,Do onde veio o #zika vírus? Mosquitos geneticamente modificados sob suspeita:  https://t.co/9nnMC86qTa - via greenMe
173,"Com a Wanheda no Brasil fico até tranquila pq ela vai exterminar Dengue, Zika e Chikungunya O que é um mosquito pra quem matou geral né non?"
68,E a muriçoca? Cientistas estudam se outros mosquitos também podem transmitir a zika https://t.co/y52yxgV1LG via @tvconexao33
183,"Conheça a Dengue, Chikungunya e Zika: O QUE É A DENGUE?A dengue é uma doença viral transmitida pelo mosquito A... https://t.co/B5VCleEycw"
118,Como a tecnologia pode ajudar a combater o mosquito do zika vírus - Isso é Exatas https://t.co/7xsfce74K5
101,"Qualé a do dia de hoje? Além de tudo, matei 2 mosquitos da dengue no meu banheiro. Sai fora, zika"
36,"Esqueci a janela aberta e o teto tá forrado de mosquito,só falta um Zika vírus  msm pra completar a minha desgraça"
171,"Se a minha zica viesse do mosquito, eu tava feito. PQP."
46,"Evite a proliferação do mosquito causador da Dengue, Zika e Chikungunya. Água parada aqui não! https://t.co/afimdx9DiV"
231,"Com a suspeita da possibilidade de transmissão do zika vírus pela saliva e pelo sêmen, que tal mudar o nome do mosquito para AIDS Aegypti?!"
51,demora me responder que eu jogo mosquito zika virus no seu quarto
90,do jeito q eu to vendo daqui a pouco o mosquito da zika vai se reproduzir no ar
57,Gastei a onda no snap eu mano mosquito da zica
211,"Começar a criar sapo, eles matam zika e mosquito da dengue."
230,Sou a favor do governo distribuir bolhas anti contato com o ar que o mosquito do Zika respira pq até isso deve ser contagioso
216,"Se a porra do zika vírus se passa pelo beijo , axo meio difícil alguém beijar o mosquito"
177,Com a skin do mosquitão zika eu não saio dos mil de score...bem triste mesmo uduhasdhsau https://t.co/KHkqg3tZcx
206,"Com a diminuição, quase fim, do jornal impresso é óbvio que aumenta a quantidade de mosquitos. Era a melhor arma... #AedesIsBack #ZikaVirus"
142,abro a janela p ventar entra chuva mosquito zika lula dilma testemunha de jeova tris teza al quaeda paz amor drogas mas vento que é bom nada
63,Chegou a coleção completa de Citronela da Perfubrasil ! Repelente Natural do mosquito que pode transmitir zika... https://t.co/ogsWVA58uS
23,"ZIKA A culpa é de todo mundo,décadas sabemos o que tem que ser feito para combater o mosquito e não fazemos. https://t.co/8lgP7nBTqO"
77,"É a zika pegou a Hope Solo mas não a do mosquito, que a do frango, tadinha da mina kkk dalhe Colômbia #tipoColombia #COL #COLxEUA #FutFem"
75,se a alemanha ganhar é so soltar os mosquito zika no vestiario deles
197,É a favor de projetos que são contra o mosquito transmissor do Zika vírus? Então ajude o Colégio Adventista de... https://t.co/ZGBtCxhOQZ
84,@mmaethe e o mosquito? É o zika vírus ? To preocupada maethezinea
182,antigamente a única zika que eu tinha medo era a que as inimigas podiam jogar em mim agora eu tenho da do mosquito
170,👉 A websérie 'Que Zika!' mostra cuidados de gestantes para se proteger do Aedes. Confira: https://t.co/AqIB6lLDwx #ZikaZero #CombateAedes
16,Esqueci a janela aberta agora meu quarto tá cheio de mosquito se eu n pego zica hj não pego nunca mais
124,Cover up? Zika Mosquitoes Same as GM Mosquitoes ... - https://t.co/aKeGblTT0m - #ArmageddonScenarios https://t.co/73ZzHfeY2Q
30,"desculpem a revolta, mas é o cúmulo do ridiculo falar zap ou zapzap, nossa que coisa mais fui picado pelo mosquito zika"
131,"Ligo a televisão e o noticiário é o tal do Mosquito Zika Vírus ou assuntos sobre as causas da Dengue, pqp RBS"
14,se a marina cancela por causa de zika eu viro mosquito e vo la na casa dessa desgraçada
83,ligo a tv  tão falando de zika vírus  troco de canal  tão falando de  mosquito da dengue  coloco no jornal tão falando de  chikungunya
179,Quando a picada de mosquito é algo mais | gráfico do @HuffingtonPost por @alissascheller https://t.co/GjP11WYY5k #zika #dengue #malaria
108,"Evite a dengue, zika e chikungunya! Não deixe o mosquito nascer. Saiba como: https://t.co/4LePHCjTtC"
94,Cai a verba federal de combate ao mosquito da dengue e zika https://t.co/I3TtsgisCt https://t.co/8OAWrQXPxo
