,sims_pt
0,mosquitoespero
1,mosquitosna
2,mosquitobemestar
3,mosquitocontr
4,mscontraomosquito
5,masquitos
6,mosquitospernilongo
7,mosquitomeu
8,mosquitos
9,malrialepraesquistossomose
10,mosquitoamp
11,ajudemnosateproteger
12,repelir
13,mosquitoeira
14,mosquitokkkk
15,pcaspary
16,mosquiiiito
17,mosquitoum
18,mosqyuto
19,vacinaproteger
20,mscsquitos
21,mosquistocada
22,microcefaliamosquitos
23,mosquitoderrubaumanao
24,mosquitosextadetremurasdv
25,matamosquitos
26,mosquitoes
27,mosquitoputa
28,mosquitoagora
29,mosqjitos
30,mosquitoinseto
31,morosquito
32,protegerse
33,mosquitodeve
34,mosquitotagsbreudigosimsdv
35,mosquitofbico
36,mosquitomosquita
37,mosquitosta
38,mosquitodiz
39,mosquitozinho
40,mosquitosda
41,mosquitoapenas
42,mosquitofree
43,malditosmosquitos
44,mosquitooooo
45,mosqiito
46,mosquitomas
47,mosquitoeiras
48,mosquitoessuck
49,mosquitoator
50,mosquisto
51,misquito
52,mosquinto
53,mosquitonado
54,mosquiito
55,mosquitochikungunya
56,mosqito
57,moscaconlosmosquitos
58,mosquitop
59,protegersem
60,mosquitosummergames
61,mosquitoparceria
62,mosquitohttpstcowgoilyadw
63,pproteger
64,mosquitoepidemia
65,mosquitosgeneticamentemodificados
66,felipesgaspary
67,mosquitospara
68,mosquitomem
69,mosquitosabia
70,protegerdemilovatoisoverparty
71,mosquioto
72,mosquitogeraldodemorais
73,mosquitokk
74,mosquusto
75,mosquito
76,mosquitono
77,mosquitoto
78,mosquitotive
79,mosquitomal
80,mosquitocitou
81,mosquitoela
82,mosquitotransmissor
83,mosquitodo
84,mosquitogo
85,mosquitoavana
86,mosquitoser
87,mosquitodadengue
88,mosquitozikadenge
89,mosquitoborne
90,mosquitoaedes
91,mosquitosespero
92,mosquitoe
93,mosquitosvo
94,mosquitolimpadas
95,mosquitojnflesch
96,mosquitosprovavelmente
97,mosquitopernilongo
98,mosquitosdevo
99,mosquitostransgnicos
100,mosquitozicamicrocefalia
101,mosquitodaqui
102,mosquitoacordaaaaaa
103,musquitos
104,mosquitosnao
105,mosquitosas
106,mosqueto
107,mosquitofpd
108,mosquitosdepois
109,mosquitosem
110,matamosquitoscpmfabortoserve
111,mosquitoafinal
112,mosquitotarantino
113,maismosquito
114,mosquitosptv
115,isakaspary
116,mosquitolandia
117,mosquitoedes
118,muriocamosquito
119,mosquitofora
120,mosquitoleaks
121,mosquitossem
122,mosquitospreveno
123,mosquitobaratasformigas
124,mosquitotudo
125,matarmosquito
126,mosquitomaldito
127,mosquitoepraacabarmesmo
128,moscamosquito
129,musquinto
130,mosquitonao
131,mosquitozikazero
132,mosquitoa
133,mosquitoduvido
134,mmmosquito
135,mosquitoacorda
136,protegeram
137,mosquitonnnnnn
138,maisquetop
139,misquitoes
140,mosquitosdilmosquito
141,mosquitoseu
142,mosquitoq
143,mataralosmosquitosnoalosbebs
144,mosquitovou
145,mosquitotransmitted
146,proteger
147,mulhermosquito
148,mosquitooh
149,mosquitotransgnico
150,mosquitodor
151,mosquitoesquerda
152,mosquitopisa
153,gaspary
154,mosquitoszica
155,morsquito
156,mosquitocoitada
157,mosquitofdp
158,mosquitozica
159,mosquitoostentacao
160,vacinaroproteger
161,mosquitoo
162,mosquitoentoelas
163,mosquitopra
164,mpsquisto
165,mosquitoeating
166,mosquitozicadengue
167,mosquitocidio
168,mosquitofdpmais
169,mosquitovamos
170,mosquitovai
171,mosquiton
172,mosquitosfora
173,mosquitosdenguezika
174,mosquitoscolabore
175,mosquitopor
176,mosquitotransgenico
177,protegeria
178,mosquitinhoestou
179,mosquitodobem
180,mosquitossai
181,mosquitodoena
182,matemessesmosquitos
183,moisquito
184,mosquitoacabacom
185,mosquitoveja
186,mosquitodocaralho
187,mosquitoque
188,mosquitors
189,mosquitoszika
190,mmosquito
191,mosquitooo
192,mdagmosquito
193,mosquitoodeio
194,mosquitose
195,mosquitoarquivoagncia
196,mesquito
197,mosquitofobia
198,mosquitooq
199,mudamosquito
200,mosquitovrus
201,gasparyas
202,mosquistos
203,protegermos
204,musquito
205,protegerem
206,mosquitofao
207,mosquitostrangenicos
208,mosquto
209,mosquitito
210,mosquitoem
211,mosquitoborn
212,mosquitozicapopulaouma
213,mosquitotransgnicoleia
214,mosquitoelimine
215,mosquitozikano
216,mosquitosaedesaegypti
217,morteaomosquito
218,mosquitoontem
219,mosquitoooo
220,moosquito
221,matamosquito
222,mateomosquitonomateoseubeb
223,mosquitoshttpstcozemjjqj
224,micromosquito
225,mosquitosbadotopclubesdv
226,mosquitozebrado
227,mosquitochato
228,mosquitozika
