,sims_es
0,masquitos
1,mosquitos
2,mosquitosmuy
3,mosquitoprevenga
4,mosquitosmas
5,matamosquitos
6,mosquitoes
7,rociar
8,mosquitosbaseceiba
9,protegerse
10,mosquitosasiq
11,mosquitohttpstcocozqqx
12,mosquitogtun
13,mosquitosalud
14,mosquitotransmiteel
15,mosquitoses
16,mosquitosqu
17,mosquitosdenguezicagracias
18,mosquitosdel
19,moscaconlosmosquitos
20,mosquitoojo
21,mosquitode
22,mosquitosdesde
23,mosquitohoy
24,mosquitosquenotepiqueelmosquito
25,mosquitospara
26,mosquitosson
27,mosquitoss
28,mosquitono
29,mosquitouno
30,mosquitoszancudos
31,mosquitohasta
32,mosquitosegn
33,mosquitodadengue
34,mosquitozikadenge
35,mosquitoaedes
36,mosquitooooooosssss
37,protegerme
38,mosquitosdengue
39,protegerc
40,mosquitosy
41,mosquitosdemuestra
42,mosquitoportador
43,mosquitoelimina
44,mosquitowater
45,micasasinmosquitos
46,rociara
47,mosquitolo
48,mosquitoahora
49,mosquitosdigo
50,protegera
51,misquitoes
52,mosquitosestamos
53,mosquitosolvidense
54,mosquitoq
55,mosquitossntomas
56,mosquitocausa
57,protegerte
58,mosquitohttpstcolddejbfpzr
59,mosquitov
60,mosquitome
61,mosquitocontrol
62,mosquitomvp
63,mosquitopor
64,mosquitosajitities
65,mosquitosdesconociendo
66,mosquitoscomo
67,mlsquitos
68,mosquitopuede
69,mosquitoskirchnerismojueces
70,mosquitonodialoga
71,viruszikaqueescomoprotegersemazsaludjpg
72,musquito
73,mosquitosss
74,mosquitosya
75,mosquitojuntos
76,mosquitoborn
77,menosmosquitos
78,mosquitoscontrol
79,mosquitoeliminando
80,rociarn
81,mosquitonaguebona
82,mosquitoel
83,mosquitoampbug
84,mosquitosino
85,mosquitosconsejos
86,mosquitoporque
87,mosquitocrisisfiscalpr
88,mosquitou
89,mosquitozika
90,mosqujitos
91,mosquitopero
92,mosquitotigre
93,mosquitoevitando
94,mosquitosobliguen
95,mosquitodeldengue
96,mosquitoweek
97,pprotegerse
98,misquitos
99,mosquitooooooopssss
100,protegerce
101,mosquitoshttpeswikihowcommanteneralejadosalosmosquitoszika
102,mosquitofree
103,mosquitoaedesaegypti
104,mosquitosi
105,mosquutos
106,mosquitostengo
107,mosquitomalo
108,mosquiito
109,mosquitosestas
110,mosqito
111,mosquitosahora
112,mosquitoso
113,mosquitodenguezika
114,mosquitooooooo
115,mosquitoshttpstcopuwiuiak
116,mosquitoserror
117,mosquitostapa
118,mosquitocero
119,mosquitossegurito
120,protegern
121,mosquitosgtgtgt
122,mosquitogm
123,mosquitosarroja
124,mosqitos
125,mosquitoshora
126,momosquitos
127,mosquitoser
128,mosquitosla
129,mollejaemosquito
130,mosquitocrea
131,mosquitotiene
132,mosquitospueden
133,mosquitoparece
134,mosquitostrucos
135,autoprotegerse
136,mosquitosincreible
137,mosquitossi
138,protegers
139,mosquitostransginicos
140,mosquitosetc
141,mosquiiiitooossss
142,mosquitosredesdereinaldo
143,mosquitoscruz
144,mosquitobites
145,mosquitoscon
146,mosquitomuy
147,protegeres
148,mosquitoooos
149,mosquitopara
150,proteger
151,mosquitoszicadenguelo
152,mosquitosaurio
153,mingatodoscontraelmosquitorecicla
154,mosquitosme
155,madurozicariodelmosquito
156,mosquitoslaqui
157,mosqitosdisminuir
158,mosquitosdominicano
159,protegerlo
160,mosquitoshan
161,mosquitosdebo
162,mosquitosno
163,mosquitosera
164,mosquitospernambucono
165,mosquitoszika
166,mutantmosquitos
167,mosquitovirus
168,mosquitousa
169,mosquitohay
170,protegerla
171,mosquitosdejen
172,mosquitooos
173,mosquitodel
174,mosquitosdickens
175,mosquitoesarecoming
176,mosquitoprotegerlo
177,mosquitoooo
178,mosquitosel
179,mosquitoojal
180,mismomosquito
181,milmosquitos
182,mpsquito
183,mosquitosms
184,mosquitologaeso
185,moscamosquitos
186,mismosquito
187,mosquitoevite
188,mosquitoshoy
189,mosquitozicajejenedengue
190,mosquitoafirm
191,mosquitosssss
192,mosquitosamprdquo
193,protegernos
194,investigarparaprotegerlasalud
195,mosquitossuck
196,moscaenlosmosquitos
197,reinounidorociarconinsecticidalosavionesprovenientesdezonasafectadasporzika
198,mosquitosta
199,mosquitomiedo
200,mosquitostigre
201,mosquitoestamos
202,malditosmosquitos
203,mosquitotransmitiendo
204,mosquitosgtgthttpstcoryymvmwith
205,mosquitoessuck
206,protegerle
207,misquito
208,mosquitomalaonda
209,mosquitospq
210,mosquitosdescubre
211,mosquitosan
212,protegerlos
213,mosquitoshttpstcogsfff
214,mosquitoconferencia
215,mosquitosaneamiento
216,mosquitossecretara
217,mosquiteitor
218,mosquitoalerta
219,mosquitodesgraciado
220,mosquitodebe
221,mosquitostodo
222,mosquitocontra
223,mosquitotrap
224,mosquitosqueafectanalmundo
225,mosquitosexual
226,rociarlos
227,mosquitoborne
228,protegeryservir
229,mosquitoszikayo
230,mosquitostransgnicos
231,mosquitosexualcontacto
232,mosquitosas
233,mosquitoinseparables
234,mosquitoscampaaprevenciondelzika
235,mosquitospreocupacion
236,mosquitoszikadengue
237,mosquitostoxicolonialismo
238,mosquitoesmagnet
239,mosquitojum
240,repeler
241,mosquitosyo
242,mosquitoscmo
243,mosquitogtdenguezikaaedes
244,mosquitoenjunio
245,repelerse
246,mosquitoles
247,protegeremos
248,mosquitoeating
249,mosquitossht
250,mecagoenlosmosquitos
251,mosquitoguard
252,amprepeleramp
253,mosquitosdenguezika
254,mosquitoya
255,mosquitoy
256,mosquitossin
257,mosquitosampquot
258,mosquitoque
259,mosquitotransmisor
260,mosquitosparece
261,mosquitorecordar
262,mosquitoslquidos
263,mosquitozancudo
264,mosqyito
265,malditomosquito
266,mosqquito
267,micasasinmosquito
268,mosquitohttpstconaoqczkc
269,mosquitoooooooooooo
270,mosquitoalert
271,minsapanamaprotegeryservir
272,mosquitosalguno
273,micasasinmosquitoscontinuan
274,mosquitosen
275,mosquitoespero
276,mosquitousar
277,mosquitoscondones
278,mosquitojeee
279,mosquitosalcaldes
280,mosquitosrio
281,mosquetos
282,rociarlo
283,protegerlas
284,mosquitozancudobicho
285,mosquitoproduce
286,mosquitootro
287,mosquitosdenguezikapulgas
288,repelera
289,mosquitol
290,mosquitosongs
291,mosquitob
292,mosquitosprevn
293,mosquitotu
294,mosquitosidaun
295,mosquisto
296,mosquitocomo
297,paraproteger
298,mosquitoesa
299,mosquitosemite
300,mosquitosalva
301,mosquitomaldad
302,mosquitovector
303,pproteger
304,mosquitosgt
305,mosquitomir
306,mosquitosconozca
307,mosquitosprimero
308,pprotegerte
309,mosquito
310,mosquitosin
311,mosquitonews
312,maymisquitoesbiteumarco
313,mosquitossalud
314,mosquitooscaranking
315,mosquitosra
316,mosquitoshttpstcolhtmyhdg
317,mosquitosviruszika
318,mosquitola
319,mosquitoman
320,mosquitosante
321,mosquitod
322,mosquitosdebe
323,mosquitover
324,mosquitocndo
325,musquitos
326,mosquitoen
327,mierdarociaron
328,rociaron
329,mosquitoste
330,mosquitosque
331,mosquitosse
332,mosqiitos
333,micasasinmosquitosactividades
334,mosquitorepelling
335,mosquitoda
336,mosquitoslta
337,mosquitosal
338,mosquitossiemprehemos
339,mosquitostransmisores
340,mosquitodelorto
341,mosquitoeliminarlos
342,mosquitomontonero
343,mosquitounmonos
344,mosquiton
345,miesquimalito
346,mosquitotodo
347,mosquitologa
348,megamosquito
349,mosquitodiiiiiioooosssssssguardanoooosss
350,mosquitodengue
351,mosqisto
352,mosquitoahi
353,mosquitose
354,mosquitospero
355,protegersegracias
356,mosquitochilibre
357,mosquistos
358,mosquitosinocentes
359,mosquitosolo
360,mosquitoshttpbitlytucr
361,protegeran
362,mosquitobuscar
363,mosquitosdelaboratorios
364,mosquitote
365,mosquitohumano
366,mosquitotambin
367,mosquitofirst
368,mosquitomaster
